word,onsets,offsets
seemed,176.0748,176.4948
much,176.4948,176.8148
more,176.8148,177.0448
natural,177.0448,177.5345
for,178.0881,178.1831
i,178.1831,178.3231
don,178.3231,178.5731
t,178.5731,178.6031
want,178.6031,178.7731
my,178.7731,178.9431
book,178.9431,179.2831
to,179.2831,179.3731
be,179.3731,179.5131
read,179.5131,179.8331
lightly,179.8331,180.2873
i,180.8559,180.9709
feel,180.9709,181.2109
so,181.2109,181.4109
much,181.4109,181.7309
sadness,181.7309,182.2309
in,182.2309,182.3109
recounting,182.3109,182.9209
these,182.9209,183.1409
memories,183.1409,183.7105
it,184.1095,184.2245
s,184.2245,184.2645
already,184.2645,184.6945
been,184.6945,184.9345
six,184.9345,185.3445
years,185.3445,185.6945
since,185.6945,186.0145
my,186.0145,186.1845
friend,186.1845,186.6045
left,186.6045,186.9145
with,186.9145,187.0445
his,187.0445,187.2045
sheep,187.2045,187.6184
if,188.4963,188.6513
i,188.6513,188.7813
try,188.7813,189.0313
to,189.0313,189.1413
describe,189.1413,189.6213
him,189.6213,189.7913
here,189.7913,190.1361
it,190.5301,190.6651
s,190.6651,190.6951
so,190.6951,190.7851
as,190.7851,190.9251
not,190.9251,191.1451
to,191.1451,191.2451
forget,191.2451,191.5851
him,191.5851,191.8749
it,192.5482,192.6832
s,192.6832,192.7132
sad,192.7132,192.9832
to,192.9832,193.0832
forget,193.0832,193.4032
a,193.4032,193.4432
friend,193.4432,193.9176
not,194.5062,194.7112
everyone,194.7112,195.1412
has,195.1412,195.3112
had,195.3112,195.5112
a,195.5112,195.5512
friend,195.5512,196.0309
and,196.5496,196.6846
if,196.6846,196.8146
i,196.8146,196.9546
forgot,196.9546,197.3346
him,197.3346,197.6245
i,198.0634,198.1484
could,198.1484,198.3384
become,198.3384,198.7184
like,198.7184,198.9184
the,198.9184,198.9984
grownups,198.9984,199.7676
who,199.9521,200.0271
are,200.0271,200.1171
only,200.1171,200.5771
interested,200.5771,201.0871
in,201.0871,201.2771
numbers,201.2771,201.8619
so,202.7649,203.1399
that,203.1399,203.4199
s,203.4199,203.4899
why,203.4899,203.6999
i,203.6999,203.8099
have,203.8099,203.9699
again,203.9699,204.4099
bought,204.4099,204.7199
a,204.7199,204.7799
box,204.7799,205.1399
of,205.1399,205.2199
paints,205.2199,205.7299
and,205.7299,205.8199
some,205.8199,206.0099
pencils,206.0099,206.6636
it,207.3519,207.4369
s,207.4369,207.4969
hard,207.4969,207.7569
to,207.7569,207.8369
take,207.8369,208.1169
up,208.1169,208.2969
drawing,208.2969,208.6269
again,208.6269,208.9269
at,208.9269,209.0469
my,209.0469,209.2969
age,209.2969,209.6711
when,210.0252,210.1502
i,210.1502,210.2702
have,210.2702,210.4102
only,210.4102,210.7802
ever,210.7802,210.9902
attempted,210.9902,211.4902
to,211.4902,211.5802
draw,211.5802,211.8502
a,211.8502,211.9002
boa,211.9002,212.2102
constrictor,212.2102,212.9302
closed,212.9302,213.5302
and,213.5302,213.6902
open,213.6902,214.0102
at,214.0102,214.1102
the,214.1102,214.2302
age,214.2302,214.4502
of,214.4502,214.5202
six,214.5202,215.0329
i,215.7662,215.8912
ll,215.8912,215.9712
try,215.9712,216.3012
of,216.3012,216.3812
course,216.3812,216.8012
to,216.8012,216.9112
make,216.9112,217.1212
my,217.1212,217.3112
portraits,217.3112,217.9012
as,217.9012,218.0412
lifelike,218.0412,218.6012
as,218.6012,218.7312
possible,218.7312,219.2698
but,219.8783,220.0233
i,220.0233,220.1033
m,220.1033,220.1633
not,220.1633,220.3933
quite,220.3933,220.7133
sure,220.7133,221.0233
i,221.0233,221.0633
ll,221.0633,221.1733
succeed,221.1733,221.7827
some,222.4412,222.6662
drawings,222.6662,223.1162
go,223.1162,223.2962
alright,223.2962,223.8659
others,224.3448,224.7398
don,224.7398,224.9398
t,224.9398,224.9698
look,224.9698,225.1698
like,225.1698,225.3598
their,225.3598,225.4898
subjects,225.4898,226.1589
i,226.997,227.032
also,227.032,227.632
get,227.632,227.832
the,227.832,227.90200000000002
size,227.90200000000002,228.342
a,228.342,228.392
bit,228.392,228.642
wrong,228.642,228.9312
here,229.6595,229.9445
the,229.9445,230.0645
little,230.0645,230.3045
prince,230.3045,230.6545
is,230.6545,230.7945
too,230.7945,230.9845
big,230.9845,231.3739
there,231.6681,231.9731
he,231.9731,232.1931
s,232.1931,232.2931
too,232.2931,232.4531
small,232.4531,232.923
i,233.7311,233.8161
m,233.8161,233.8861
also,233.8861,234.2561
not,234.2561,234.5361
sure,234.5361,234.8461
about,234.8461,235.0761
the,235.0761,235.1461
colour,235.1461,235.5061
of,235.5061,235.5861
his,235.5861,235.7461
outfit,235.7461,236.2852
so,236.8788,237.1738
i,237.1738,237.3538
fumble,237.3538,237.7838
along,237.7838,238.1838
somehow,238.1838,238.6938
as,238.6938,238.8338
best,238.8338,239.1638
i,239.1638,239.2838
can,239.2838,239.7083
i,240.3967,240.5117
will,240.5117,240.6517
make,240.6517,240.9017
mistakes,240.9017,241.4517
on,241.4517,241.5717
certain,241.5717,241.9617
important,241.9617,242.5417
points,242.5417,243.0517
too,243.0517,243.3856
but,243.9443,244.0693
you,244.0693,244.1393
ll,244.1393,244.1993
have,244.1993,244.3293
to,244.3293,244.4593
forgive,244.4593,244.7993
me,244.7993,244.9993
that,244.9993,245.3837
my,245.8725,246.0275
friend,246.0275,246.4275
never,246.4275,246.7375
gave,246.7375,247.0275
explanations,247.0275,247.9871
perhaps,248.4909,248.9159
he,248.9159,249.0359
