onsets,offsets,word
239.12,239.76,tragédie
239.76,240.02,","
240.02,240.12,ou
240.12,240.23,de
240.23,240.4,se
240.4,240.8,changer
240.8,240.96,en
240.96,241.21,oiseau
241.21,241.33,de
241.33,241.71,mer
241.71,242.01,","
242.01,242.07,et
242.07,242.28,si
242.28,242.36,le
242.36,242.9,général
242.9,242.95,n'
242.95,243.44,exécutait
243.44,243.63,pas
243.63,243.71,l'
243.71,244.03,ordre
244.03,244.41,reçu
244.41,244.82,","
244.82,245.13,qui
245.13,245.29,","
245.29,245.44,de
245.44,245.79,lui
245.79,245.91,ou
245.91,246.05,de
246.05,246.37,moi
246.37,246.5,","
246.5,246.83,serait
246.83,246.94,dans
246.94,247.15,son
247.15,247.59,tort
247.59,248.24,?
248.24,248.24,-
248.24,248.53,ce
248.53,248.74,serait
248.74,248.98,vous
248.98,249.32,","
249.32,249.49,dit
249.49,249.94,fermement
249.94,250.05,le
250.05,250.35,petit
250.35,250.85,prince
250.85,251.43,.
251.43,251.43,-
251.43,252.04,exact
252.04,252.52,.
252.52,252.68,il
252.68,252.81,faut
252.81,253.26,exiger
253.26,253.36,de
253.36,253.87,chacun
253.87,254.03,ce
254.03,254.14,que
254.14,254.49,chacun
254.49,254.67,peut
254.67,255.08,donner
255.08,255.4,","
255.4,255.82,reprit
255.82,255.94,le
255.94,256.23,roi
256.23,257.2,.
257.2,257.25,l'
257.25,257.84,autorité
257.84,258.32,repose
258.32,258.39,d'
258.39,258.85,abord
258.85,259.05,sur
259.05,259.16,la
259.16,259.61,raison
259.61,260.07,.
260.07,260.29,si
260.29,260.43,tu
260.43,260.78,ordonnes
260.78,260.84,à
260.84,261.01,ton
261.07,261.42,peuple
261.42,261.48,d'
261.48,261.65,aller
261.65,261.82,se
261.82,262.23,jeter
262.23,262.29,à
262.29,262.41,la
262.41,262.82,mer
262.82,262.89,","
262.89,263.02,il
263.02,263.32,fera
263.32,263.43,la
263.43,264.19,révolution
264.19,264.88,.
264.88,265.01,j'
265.01,265.07,ai
265.07,265.2,le
265.2,265.56,droit
265.56,265.62,d'
265.62,266.06,exiger
266.06,266.11,l'
266.11,266.97,obéissance
266.97,267.16,parce
267.16,267.28,que
267.28,267.52,mes
267.52,267.77,ordres
267.77,267.94,sont
267.94,268.67,raisonnables
268.67,269.66,.
269.66,269.66,-
269.66,269.99,alors
269.99,270.13,mon
270.13,270.4,coucher
270.4,270.51,de
270.51,271.02,soleil
271.02,271.47,?
271.47,271.95,rappela
271.95,272.07,le
272.07,272.34,petit
272.34,272.83,prince
272.83,273.06,qui
