word,onsets,offsets
quoi,165.79,166.23
cela,166.32,166.58
te,166.58,166.67
sert,166.67,166.83
il,166.83,166.92
d',166.92,166.96
être,166.96,167.2
riche,167.2,167.66
à,168.71,168.81
acheter,168.96,169.42
d',169.42,169.5
autres,169.5,169.84
étoiles,169.84,170.39
si,170.39,170.58
quelqu',170.58,170.85
un,170.85,170.9
en,170.9,171.03
trouve,171.03,171.54
celui,172.66,173.09
là,173.09,173.28
se,173.47,173.64
dit,173.64,173.88
en,173.88,173.95
lui,173.95,174.14
même,174.14,174.4
le,174.4,174.51
petit,174.51,174.81
prince,174.81,175.36
il,175.81,175.98
raisonne,175.98,176.41
un,176.41,176.52
peu,176.56,176.73
comme,176.73,176.89
mon,176.94,177.11
ivrogne,177.11,177.65
cependant,178.64,179.33
il,179.45,179.61
posa,179.61,180.01
encore,180.01,180.57
des,180.57,180.69
questions,180.69,181.2
comment,182.11,182.51
peut,182.51,182.74
on,182.74,182.93
posséder,182.93,183.39
les,183.39,183.58
étoiles,183.58,184.17
à,185.11,185.26
qui,185.26,185.46
sont,185.46,185.59
elles,185.59,186.07
riposta,186.44,187.0
grincheux,187.21,187.9
le,188.02,188.15
businessman,188.15,188.97
je,189.94,190.09
ne,190.09,190.14
sais,190.14,190.44
pas,190.44,190.65
à,191.06,191.18
personne,191.18,191.75
alors,192.41,192.66
elles,192.93,193.09
sont,193.09,193.32
à,193.32,193.42
moi,193.42,193.79
car,194.02,194.22
j',194.22,194.37
y,194.37,194.4
ai,194.4,194.54
pensé,194.54,194.89
le,194.89,195.01
premier,195.06,195.61
ça,196.62,196.82
suffit,196.82,197.3
bien,198.1,198.33
sûr,198.33,198.83
quand,199.13,199.3
tu,199.3,199.47
trouves,199.47,199.76
un,199.76,199.86
diamant,199.86,200.31
qui,200.31,200.43
n',200.43,200.49
est,200.49,200.63
à,200.63,200.71
personne,200.71,201.18
il,201.18,201.25
est,201.38,201.67
à,201.67,201.77
toi,201.77,202.07
quand,202.89,203.05
tu,203.05,203.16
trouves,203.16,203.45
une,203.45,203.56
île,203.56,203.8
qui,203.8,203.93
n',203.93,203.99
est,203.99,204.13
à,204.13,204.19
personne,204.19,204.73
elle,205.1,205.26
est,205.26,205.4
à,205.4,205.49
toi,205.49,205.79
quand,206.67,206.82
tu,206.86,207.01
as,207.01,207.08
une,207.08,207.3
idée,207.3,207.55
le,207.55,207.65
premier,207.65,208.27
tu,208.37,208.49
la,208.49,208.66
fais,208.66,208.82
breveter,208.82,209.49
elle,209.8,209.95
est,209.95,210.1
à,210.1,210.21
toi,210.21,210.54
et,211.52,211.64
moi,211.64,211.86
je,211.86,212.05
possède,212.05,212.44
les,212.44,212.68
étoiles,212.68,213.12
puisque,213.12,213.45
jamais,213.45,213.99
personne,213.99,214.44
avant,214.44,214.66
moi,214.66,214.83
n',214.83,214.92
a,214.92,214.97
songé,214.97,215.37
à,215.37,215.43
les,215.43,215.57
posséder,215.57,216.11
ça,217.11,217.31
c',217.31,217.43
est,217.43,217.55
vrai,217.55,217.78
dit,218.2,218.5
le,218.5,218.55
petit,218.55,218.82
prince,218.82,219.34
et,220.03,220.1
qu',220.1,220.18
en,220.18,220.28
fais,220.32,220.51
tu,220.51,220.83
